Date,Sale ID,Customer Name,Product,Amount,Status,Payment Method,Error/Refund Reason,56456
2024-11-02,S1052,Customer 53,Widget B,250,Refund,PayPal,Duplicate charge,
2024-11-03,S1082,Customer 83,Widget B,200,Completed,PayPal,,
2024-11-04,S1056,Customer 57,Widget D,100,Error,Credit Card,Network error,
2024-11-04,S1088,Customer 89,Widget B,200,Refund,Debit Card,Duplicate charge,
2024-11-05,S1041,Customer 42,Widget D,100,Error,Credit Card,Authorization failed,
2024-11-05,S1087,Customer 88,Widget D,250,Error,Debit Card,Authorization failed,
2024-11-06,S1084,Customer 85,Widget C,100,Completed,Debit Card,,
2024-11-07,S1086,Customer 87,Widget B,200,Error,Debit Card,Authorization failed,
2024-11-09,S1074,Customer 75,Widget D,150,Completed,PayPal,435345,
2024-11-11,S1010,Customer 11,Widget E,100,Completed,Credit Card,,
2024-11-11,S1054,Customer 55,Widget E,200,Completed,PayPal,,
2024-11-11,S1070,Customer 71,Widget A,250,Completed,Credit Card,,
2024-11-15,S1022,Customer 23,Widget A,100,Completed,Credit Card,,
2024-11-17,S1032,Customer 33,Widget A,250,Completed,PayPal,,
2024-11-17,S1077,Customer 78,Widget C,100,Completed,Credit Card,,
2024-11-18,S1003,,Widget B,250,Refund,PayPal,Customer request,
2024-11-18,S1049,Customer 50,Widget C,100,Error,Credit Card,Payment timeout,
2024-11-21,S1004,Customer 5,Widget B,200,Error,Debit Card,Authorization failed,
2024-11-23,S1073,Customer 74,Widget B,300,Completed,PayPal,,
2024-11-28,S1018,Customer 19,Widget D,250,Completed,PayPal,,
2024-11-30,S1019,Customer 20,Widget B,300,Completed,PayPal,,
2024-12-01,S1044,Customer 45,Widget D,150,Error,PayPal,Authorization failed,
2024-12-02,S1038,Customer 39,Widget A,150,Completed,PayPal,,
2024-12-03,S1051,Customer 52,Widget A,250,Completed,PayPal,,
2024-12-04,S1013,Customer 14,Widget A,250,Completed,PayPal,,
2024-12-04,S1069,Customer 70,Widget C,250,Completed,Debit Card,,
2024-12-05,S1059,Customer 60,Widget E,200,Completed,PayPal,,
2024-12-07,S1078,Customer 79,Widget D,100,Completed,Debit Card,,
2024-12-08,S1023,Customer 24,Widget E,100,Completed,PayPal,,
2024-12-08,S1048,Customer 49,Widget E,250,Completed,Debit Card,,
2024-12-09,S1006,Customer 7,Widget E,200,Refund,Credit Card,Product defect,
2024-12-09,S1045,Customer 46,Widget A,200,Completed,Debit Card,,
2024-12-09,S1089,Customer 90,Widget A,150,Completed,Credit Card,,
2024-12-11,S1015,Customer 16,Widget D,300,Completed,Credit Card,,
2024-12-11,S1063,Customer 64,Widget D,100,Refund,Debit Card,Duplicate charge,
2024-12-12,S1030,Customer 31,Widget E,200,Completed,PayPal,,
2024-12-12,S1031,Customer 32,Widget B,150,Completed,Debit Card,,
2024-12-13,S1065,Customer 66,Widget A,200,Completed,PayPal,,
2024-12-14,S1012,Customer 13,Widget B,200,Refund,Credit Card,Duplicate charge,
2024-12-14,S1064,Customer 65,Widget E,100,Completed,Credit Card,,
2024-12-15,S1062,Customer 63,Widget B,200,Completed,Credit Card,,
2024-12-18,S1040,Customer 41,Widget B,300,Completed,PayPal,,
2024-12-21,S1008,Customer 9,Widget C,200,Error,PayPal,Authorization failed,
2024-12-21,S1017,Customer 18,Widget B,100,Completed,Debit Card,,
2024-12-21,S1047,Customer 48,Widget C,150,Completed,Credit Card,,
2024-12-21,S1071,Customer 72,Widget C,200,Completed,PayPal,,
2024-12-21,S1075,Customer 76,Widget C,300,Completed,Debit Card,,
2024-12-22,S1061,Customer 62,Widget B,100,Completed,Credit Card,,
2024-12-22,S1081,Customer 82,Widget B,200,Completed,Credit Card,,
2024-12-23,S1005,Customer 6,Widget B,150,Completed,Credit Card,,
2024-12-23,S1021,Customer 22,Widget A,200,Completed,PayPal,,
2024-12-23,S1028,Customer 29,Widget A,300,Completed,Credit Card,,
2024-12-23,S1034,Customer 35,Widget D,200,Error,Credit Card,Payment timeout,
